,store,item,aic
0,1,1,-58.36563272630153
0,1,2,-1280.439719746779
0,1,3,-899.1661750015222
0,1,4,1.686346412468673
0,1,5,147.89876655780296
0,1,6,-1169.009883409566
0,1,7,-1118.7433148990324
0,1,8,-1451.9053576553815
0,1,9,-1269.04235179468
0,1,10,-1416.5597174563165
0,1,11,-1517.7402210629207
0,1,12,-1614.0608019881258
0,1,13,-1786.5230964916425
0,1,14,-1428.8075460193975
0,1,15,-1660.2174576936259
0,1,16,-186.95457040164007
0,1,17,-608.3490418893052
0,1,18,-1655.9741939001233
0,1,19,-724.6135278864895
0,1,20,-1031.5365712318844
0,1,21,-812.0999324856418
0,1,22,-1384.8905436133998
0,1,23,-310.1711787168676
0,1,24,-1353.0029901205107
0,1,25,-1466.2936994077572
0,1,26,-884.3449078084759
0,1,27,-9.078311628878033
0,1,28,-1661.7949030103969
0,1,29,-1563.8756205766585
0,1,30,-777.5468679332782
0,1,31,-1267.4406158966217
0,1,32,-1024.0672009065545
0,1,33,-1468.574919851389
0,1,34,-194.43976081111649
0,1,35,-1236.0239681654728
0,1,36,-1540.5825964063388
0,1,37,-365.2689258239243
0,1,38,-1516.7011994605757
0,1,39,-850.906965097854
0,1,40,-508.8004014314806
0,1,41,25.290334646759707
0,1,42,-932.960826107909
0,1,43,-1206.7653956311337
0,1,44,-479.7286857147984
0,1,45,-1484.2526927522727
0,1,46,-1321.771058521156
0,1,47,-115.00744731219862
0,1,48,-1086.4322523281264
0,1,49,-422.44108104896
0,1,50,-1370.9001317010598
0,2,1,-594.8969138748012
0,2,2,-1584.0942415144168
0,2,3,-1179.1799898916108
0,2,4,-670.0506217578388
0,2,5,-86.20424146526318
0,2,6,-1759.6498965851151
0,2,7,-1693.342242371304
0,2,8,-2020.1171366746098
0,2,9,-1350.4857476058787
0,2,10,-1862.8433744012052
0,2,11,-1863.5373667564597
0,2,12,-1889.119244472812
0,2,13,-1874.4941481219498
0,2,14,-1602.1400359834856
0,2,15,-2048.3084180709093
0,2,16,-605.3038933842638
0,2,17,-942.3297671909684
0,2,18,-1806.5734379852242
0,2,19,-1174.7104788323259
0,2,20,-1495.3916377132891
0,2,21,-1341.0169407028386
0,2,22,-2040.57151398625
0,2,23,-857.698801512381
0,2,24,-1826.4957433413854
0,2,25,-1620.910956825194
0,2,26,-1276.8453029151096
0,2,27,-521.2145072432804
0,2,28,-1867.6782834640446
0,2,29,-1995.8360435355514
0,2,30,-1089.526097739075
0,2,31,-1711.7027190464692
0,2,32,-1255.695750848921
0,2,33,-1845.0200876558984
0,2,34,-674.94985002607
0,2,35,-1851.8052836284287
0,2,36,-1773.7873145539643
0,2,37,-948.2884547122526
0,2,38,-1717.8388370264079
0,2,39,-1179.2599996303638
0,2,40,-876.9994313368226
0,2,41,-482.78043230056915
0,2,42,-1160.798571735489
0,2,43,-1499.6856877667126
0,2,44,-828.5329993727721
0,2,45,-1792.3044192900734
0,2,46,-1718.9900432737845
0,2,47,-591.3358838546833
0,2,48,-1594.672161410487
0,2,49,-817.8466874502531
0,2,50,-1622.3767953394376
0,3,1,-445.70304883255847
0,3,2,-1470.8233419850158
0,3,3,-977.075836180041
0,3,4,-420.4628867826906
0,3,5,-168.34198057532177
0,3,6,-1602.56754513875
0,3,7,-1708.2474626105975
0,3,8,-1849.5079852350373
0,3,9,-1357.1087919611846
0,3,10,-1863.1746392509199
0,3,11,-1504.921235457669
0,3,12,-1677.6671118344718
0,3,13,-1746.766832054437
0,3,14,-1531.8297565806815
0,3,15,-2013.6605425206128
0,3,16,-607.7403714452073
0,3,17,-940.0000303433717
0,3,18,-1732.1760677685036
0,3,19,-1160.087282991765
0,3,20,-1213.7512066351178
0,3,21,-1018.5750804626532
0,3,22,-1863.785851215242
0,3,23,-805.077134094663
0,3,24,-1488.8042554038807
0,3,25,-1936.4385302149549
0,3,26,-1257.291118352376
0,3,27,-310.4636609595923
0,3,28,-2000.8642882970485
0,3,29,-1760.253859520859
0,3,30,-1022.942473084521
0,3,31,-1332.6098046437933
0,3,32,-1199.7412011449478
0,3,33,-1850.158383057116
0,3,34,-649.2442877821854
0,3,35,-1743.6476809403725
0,3,36,-1710.765296913747
0,3,37,-786.1421466001573
0,3,38,-1887.6393259409865
0,3,39,-1081.1541314479714
0,3,40,-723.0676675802591
0,3,41,-381.74256408746396
0,3,42,-955.035138147153
0,3,43,-1426.5430671962013
0,3,44,-685.17819002613
0,3,45,-1792.273166946878
0,3,46,-1576.0780507975362
0,3,47,-450.09662566283555
0,3,48,-1393.5579907145282
0,3,49,-671.2410387501868
0,3,50,-1647.2153382710019
0,4,1,-273.8691361322368
0,4,2,-1328.332128729768
0,4,3,-827.9867570089327
0,4,4,-246.09620476905354
0,4,5,-9.270210347509575
0,4,6,-1528.224906088228
0,4,7,-1256.4190235524015
0,4,8,-1792.5362854578666
0,4,9,-1325.58080768381
0,4,10,-1753.0325668102223
0,4,11,-1478.9927039598142
0,4,12,-1602.3131925785758
0,4,13,-1787.0129494373018
0,4,14,-1508.791693797755
0,4,15,-1784.19552436102
0,4,16,-543.3651305112447
0,4,17,-812.2374664324759
0,4,18,-1907.6504199933213
0,4,19,-949.5600851923899
0,4,20,-1283.0418488047492
0,4,21,-987.7419201452141
0,4,22,-1779.7162739569017
0,4,23,-650.2194586097523
0,4,24,-1757.8292785787617
0,4,25,-1697.5412654494157
0,4,26,-1113.3665504274443
0,4,27,-254.7932374251111
0,4,28,-1828.6420101468518
0,4,29,-1543.4258361730472
0,4,30,-975.9202447718367
0,4,31,-1513.6035076273158
0,4,32,-1095.6436829666868
0,4,33,-1559.70118013929
0,4,34,-326.23367786907704
0,4,35,-1632.6115003493878
0,4,36,-1860.6813777137024
0,4,37,-657.6167040024005
0,4,38,-1823.1536722961941
0,4,39,-1096.8713851257485
0,4,40,-555.249692232509
0,4,41,-288.9761998917265
0,4,42,-876.7321792630303
0,4,43,-1181.2461870526354
0,4,44,-642.5038791542789
0,4,45,-1609.9013478556772
0,4,46,-1426.868521181467
0,4,47,-162.01754688962734
0,4,48,-1138.0202578534531
0,4,49,-647.3564471756727
0,4,50,-1567.4386722107017
0,5,1,171.61937147319753
0,5,2,-1122.0083868649695
0,5,3,-566.7803111963717
0,5,4,214.99211419787687
0,5,5,445.1337852739027
0,5,6,-1038.1735332623616
0,5,7,-1168.4848495752447
0,5,8,-1192.4132860913023
0,5,9,-768.0001668387337
0,5,10,-1292.3658195211065
0,5,11,-1203.818428086236
0,5,12,-1248.1158173561305
0,5,13,-1353.483195438971
0,5,14,-978.2109960001188
0,5,15,-1544.7263513933854
0,5,16,-175.4645974607751
0,5,17,-449.94454690472634
0,5,18,-1436.4362952095948
0,5,19,-669.0779781850505
0,5,20,-810.7898811509242
0,5,21,-586.1205925964412
0,5,22,-1492.7894845518158
0,5,23,-254.76553708963831
0,5,24,-1185.2220830044946
0,5,25,-1319.8021204096049
0,5,26,-754.3098884161637
0,5,27,192.85398359462488
0,5,28,-1618.1215448559003
0,5,29,-1293.9420335799127
0,5,30,-709.7030046042549
0,5,31,-1072.3715549477618
0,5,32,-842.3629331042127
0,5,33,-1239.4382727780173
0,5,34,-9.42941993926405
0,5,35,-1315.8776686250326
0,5,36,-1397.023817298526
0,5,37,-257.9809882264436
0,5,38,-1724.6237324807216
0,5,39,-724.5046984717228
0,5,40,-215.08010893504678
0,5,41,253.30088401400866
0,5,42,-493.0276979113765
0,5,43,-954.5198067714432
0,5,44,-213.40218009948057
0,5,45,-1521.3803589902939
0,5,46,-1038.5440341021772
0,5,47,280.63890699574705
0,5,48,-1056.7654613920595
0,5,49,-208.66000503000419
0,5,50,-1157.4509242299937
0,6,1,209.41570681008454
0,6,2,-1012.6544609569573
0,6,3,-482.48973989608464
0,6,4,10326.316522705525
0,6,5,466.9347039646216
0,6,6,-1082.4728088767665
0,6,7,-976.0413162990992
0,6,8,-1383.4452211912385
0,6,9,-1024.118746002682
0,6,10,-1436.2794683248944
0,6,11,-1220.5741895112888
0,6,12,-1216.312126899103
0,6,13,-1569.4821074498836
0,6,14,-1099.8769697987336
0,6,15,-1624.4836559932917
0,6,16,-106.5665179203543
0,6,17,-358.81960239729995
0,6,18,-1441.5803818377954
0,6,19,-625.4614102825251
0,6,20,-1031.6441491871012
0,6,21,-689.0713898106142
0,6,22,-1512.9829601691754
0,6,23,-186.16271973424196
0,6,24,-1131.7239884627386
0,6,25,-1409.6192761053408
0,6,26,-821.8108723667648
0,6,27,184.7512172588709
0,6,28,-1575.3373592188614
0,6,29,-1533.0357442550012
0,6,30,-530.311841638699
0,6,31,-1174.694191496385
0,6,32,-801.3098133453752
0,6,33,-1328.669128877806
0,6,34,-23.927946052241083
0,6,35,-1186.7353371803574
0,6,36,-1371.4420723846235
0,6,37,-330.33265307928616
0,6,38,-1359.6376963830944
0,6,39,-702.4919065520282
0,6,40,-53.48718760035541
0,6,41,317.8652695346411
0,6,42,-435.17120233244145
0,6,43,-1015.9687426998344
0,6,44,-193.50501007795225
0,6,45,-1550.49527366546
0,6,46,-961.5176676679678
0,6,47,177.76696720270692
0,6,48,-847.2123095961474
0,6,49,-259.5540038552337
0,6,50,-1333.750900425452
0,7,1,393.4684877906552
0,7,2,-974.783613985729
0,7,3,-333.9866467028254
0,7,4,160.23780413905095
0,7,5,575.6204114618571
0,7,6,-1058.6509148354444
0,7,7,-911.3719525729966
0,7,8,-1251.8765437518784
0,7,9,-754.4178056009478
0,7,10,-1249.693094220499
0,7,11,-1303.3079982292688
0,7,12,-1020.76397453032
0,7,13,-1239.2634127717902
0,7,14,-1026.6337532625848
0,7,15,-1472.596994851005
0,7,16,150.65119471350957
0,7,17,-291.0591202834641
0,7,18,-1376.6886790901415
0,7,19,-566.8259233838177
0,7,20,-791.2785918061809
0,7,21,-555.1028125232008
0,7,22,-1214.29700228472
0,7,23,18.094125411078245
0,7,24,-1199.7011829544945
0,7,25,-1321.3001046819916
0,7,26,-698.2678738681043
0,7,27,401.2328117563694
0,7,28,-1379.5720687550097
0,7,29,-1199.396565366294
0,7,30,-471.0004262558678
0,7,31,-1074.3805193540657
0,7,32,-546.1074997600731
0,7,33,-1124.3245396351356
0,7,34,155.02674267649738
0,7,35,-1201.7229251854694
0,7,36,-1205.2166174258098
0,7,37,-92.20573734731032
0,7,38,-1374.9747064261614
0,7,39,-586.0612116900552
0,7,40,-144.58923508457227
0,7,41,256.58438979344805
0,7,42,-368.5221013592052
0,7,43,-778.9566628609975
0,7,44,-47.11145505032009
0,7,45,-1180.1111772232748
0,7,46,-839.4780655731881
0,7,47,260.7893668180762
0,7,48,-796.9266332649308
0,7,49,-34.59165943859077
0,7,50,-1187.9781442663198
0,8,1,-401.1925988301109
0,8,2,-1498.4991045802394
0,8,3,-1136.2860935620156
0,8,4,-521.5909557169721
0,8,5,-298.72674377146285
0,8,6,-1665.766986886026
0,8,7,-1428.1168731425437
0,8,8,-1826.9301607644475
0,8,9,-1367.2541169029573
0,8,10,-2015.3062355627935
0,8,11,-1577.7501091681943
0,8,12,-1819.8657729602287
0,8,13,-2043.5613601288146
0,8,14,-1341.4251949147956
0,8,15,-2079.813984382619
0,8,16,-570.600531696743
0,8,17,-1062.9779873188945
0,8,18,-1712.9453785868382
0,8,19,-1144.5022942655366
0,8,20,-1310.9645736910052
0,8,21,-1168.6906044018779
0,8,22,-2040.167219716402
0,8,23,-854.4524165518707
0,8,24,-1565.767966447806
0,8,25,-2023.4778295276892
0,8,26,-1394.552082425424
0,8,27,-466.439822593179
0,8,28,-2104.033024036224
0,8,29,-1780.104291052416
0,8,30,-1182.4287256531707
0,8,31,-1528.5767018969386
0,8,32,-1359.8240703039673
0,8,33,-1953.984455043575
0,8,34,-628.8742711820938
0,8,35,-1636.3913085017816
0,8,36,-1974.9167350080215
0,8,37,-650.3849138904748
0,8,38,-1906.1703794096695
0,8,39,-1340.4758498414892
0,8,40,-819.4749196035357
0,8,41,-347.3998507562934
0,8,42,-1043.9821964949585
0,8,43,-1619.435749934429
0,8,44,-903.9550045499545
0,8,45,-1997.025658303524
0,8,46,-1661.8540751265273
0,8,47,-586.5088572085184
0,8,48,-1383.9244931975488
0,8,49,-877.5862135373362
0,8,50,-1767.3328231086925
0,9,1,-215.75003424719011
0,9,2,-1502.062906844506
0,9,3,-804.3654485715796
0,9,4,-137.826329053817
0,9,5,49.82020820169262
0,9,6,-1363.9387233600896
0,9,7,-1466.0280142639558
0,9,8,-1842.838655368966
0,9,9,-1232.4230125262404
0,9,10,-1723.0484503373311
0,9,11,-1480.1819275824396
0,9,12,-1522.6603521930492
0,9,13,-1652.9718820931964
0,9,14,-1251.0650670064633
0,9,15,-1972.9143766191396
0,9,16,-451.5193027047951
0,9,17,-825.7275127685729
0,9,18,-1839.4407659392862
0,9,19,-1097.8166535903824
0,9,20,-1332.4202891394339
0,9,21,-1125.1629543321808
0,9,22,-1805.858708427461
0,9,23,-574.8073098020454
0,9,24,-1461.255427973139
0,9,25,-1593.626891711097
0,9,26,-1295.628410590456
0,9,27,-358.38947117154027
0,9,28,-1590.816488558169
0,9,29,-1464.4669498638737
0,9,30,-1162.758564850855
0,9,31,-1517.683041217582
0,9,32,-1005.8007372584328
0,9,33,-1553.8178369848758
0,9,34,-542.1328339103594
0,9,35,-1699.956492759171
0,9,36,-1766.7543058704866
0,9,37,-643.2719340764569
0,9,38,-1607.1496477285484
0,9,39,-1058.83288583387
0,9,40,-752.820469005517
0,9,41,-324.2283676862885
0,9,42,-805.3628217494513
0,9,43,-1234.903365281322
0,9,44,-574.5009945655306
0,9,45,-1844.8573699417216
0,9,46,-1360.9292761255065
0,9,47,-246.58206446559046
0,9,48,-1233.7239086052177
